file,N,loadtype_code,loadtype,g_val,k_val,n_points,span,depth,shallow_flag,best_fit,decisive,catenary_r2,catenary_aic,catenary_bic,parabolic_r2,parabolic_aic,parabolic_bic,elliptical_r2,elliptical_aic,elliptical_bic
arch_run12_2_g-0.7_k50.0.csv,12,2,asymmetric,-0.7,50,13,9.9994,1.7516,FALSE,parabolic,FALSE,0.94754,-45.677,-43.982,0.94957,-46.188,-44.493,0.94956,-44.186,-41.927
arch_run24_0_g-0.1_k10.0.csv,24,0,uniform,-0.1,10,25,9.9998,3.3588,FALSE,elliptical,TRUE,0.99996,-240.777,-237.12,0.99942,-175.648,-171.991,1,-318.197,-313.321
arch_run24_0_g-0.1_k25.0.csv,24,0,uniform,-0.1,25,25,9.9998,2.3433,FALSE,elliptical,TRUE,1,-315.88,-312.223,0.99978,-218.024,-214.367,1,-392.52,-387.644
arch_run24_0_g-0.1_k50.0.csv,24,0,uniform,-0.1,50,25,9.9997,1.8186,FALSE,elliptical,TRUE,1,-373.004,-369.347,0.9999,-250.866,-247.209,1,-449.54,-444.664
arch_run24_0_g-0.3_k10.0.csv,24,0,uniform,-0.3,10,25,9.9997,5.5578,FALSE,elliptical,TRUE,0.99943,-151.339,-147.682,0.99848,-126.75,-123.094,0.99998,-232.989,-228.113
arch_run24_0_g-0.3_k25.0.csv,24,0,uniform,-0.3,25,25,9.9995,3.627,FALSE,elliptical,TRUE,0.99993,-225.877,-222.22,0.9993,-167.37,-163.714,1,-303.651,-298.775
arch_run24_0_g-0.3_k50.0.csv,24,0,uniform,-0.3,50,25,9.9994,2.7358,FALSE,elliptical,TRUE,0.99999,-282.598,-278.941,0.99966,-199.099,-195.442,1,-359.398,-354.523
arch_run24_0_g-0.5_k10.0.csv,24,0,uniform,-0.5,10,25,9.9996,7.3365,FALSE,elliptical,TRUE,0.9983,-110.249,-106.592,0.9979,-104.999,-101.342,0.99995,-196.332,-191.457
arch_run24_0_g-0.5_k25.0.csv,24,0,uniform,-0.5,25,25,9.9994,4.5574,FALSE,elliptical,TRUE,0.99977,-184.235,-180.579,0.99889,-144.511,-140.854,0.99999,-263.654,-258.779
arch_run24_0_g-0.5_k50.0.csv,24,0,uniform,-0.5,50,25,9.9992,3.359,FALSE,elliptical,TRUE,0.99996,-240.769,-237.112,0.99942,-175.633,-171.976,1,-318.172,-313.296
arch_run24_0_g-0.7_k10.0.csv,24,0,uniform,-0.7,10,25,9.9996,8.9834,FALSE,elliptical,TRUE,0.99668,-83.553,-79.897,0.99755,-91.196,-87.54,0.99992,-173.787,-168.911
